Year,Nivel,Género,GeoCode,Value
2018,"Bachiller elemental, Graduado escolar, ESO",,860731,713
2018,"Bachiller elemental, Graduado escolar, ESO",,860732,4704
2018,"Bachiller elemental, Graduado escolar, ESO",,860733,3254
2018,"Bachiller elemental, Graduado escolar, ESO",,860734,3746
2018,"Bachiller elemental, Graduado escolar, ESO",,860735,3397
2018,"Bachiller elemental, Graduado escolar, ESO",,860736,10875
2018,"Bachiller elemental, Graduado escolar, ESO",,860737,13908
2018,"Bachiller elemental, Graduado escolar, ESO",,860738,5202
2018,"Bachiller elemental, Graduado escolar, ESO",,860739,3740
2018,"Bachiller elemental, Graduado escolar, ESO",,860740,2702
2018,"Bachiller elemental, Graduado escolar, ESO",,860741,1094
2018,"Bachiller elemental, Graduado escolar, ESO",,860742,607
2018,"Bachiller elemental, Graduado escolar, ESO",,860743,147
2018,"Bachiller elemental, Graduado escolar, ESO",,860744,1663
2018,"Bachiller elemental, Graduado escolar, ESO",,860745,428
2018,"Bachiller elemental, Graduado escolar, ESO",,860746,959
2018,"Bachiller elemental, Graduado escolar, ESO",,860747,6813
2018,"Bachiller elemental, Graduado escolar, ESO",,860748,10745
2018,"Bachiller elemental, Graduado escolar, ESO",,860749,2684
2018,"Bachiller elemental, Graduado escolar, ESO",,860750,3491
2018,"Bachiller elemental, Graduado escolar, ESO",,860751,10785
2018,"Bachiller elemental, Graduado escolar, ESO",,860752,4400
2018,"Bachiller elemental, Graduado escolar, ESO",,860753,3651
2018,"Bachiller elemental, Graduado escolar, ESO",,860754,8513
2018,"Bachiller elemental, Graduado escolar, ESO",,860755,7254
2018,"Bachiller elemental, Graduado escolar, ESO",,860756,9465
2018,"Bachiller elemental, Graduado escolar, ESO",,860757,5114
2018,"Bachiller elemental, Graduado escolar, ESO",,860758,6017
2018,"Bachiller elemental, Graduado escolar, ESO",,860759,8684
2018,"Bachiller elemental, Graduado escolar, ESO",,860760,2565
2018,"Bachiller elemental, Graduado escolar, ESO",,860761,1957
2018,"Bachiller elemental, Graduado escolar, ESO",,860762,190
2018,"Bachiller elemental, Graduado escolar, ESO",,860763,5766
2018,"Bachiller elemental, Graduado escolar, ESO",,860764,2349
2018,"Bachiller elemental, Graduado escolar, ESO",,860765,2300
2018,"Bachiller elemental, Graduado escolar, ESO",,860766,5220
2018,"Bachiller elemental, Graduado escolar, ESO",,860767,4262
2018,"Bachiller elemental, Graduado escolar, ESO",,860768,2224
2018,"Bachiller elemental, Graduado escolar, ESO",,860769,6622
2018,"Bachiller elemental, Graduado escolar, ESO",,860770,1372
2018,"Bachiller elemental, Graduado escolar, ESO",,860771,2108
2018,"Bachiller elemental, Graduado escolar, ESO",,860772,441
2018,"Bachiller elemental, Graduado escolar, ESO",,860773,1701
2018,"Bachiller elemental, Graduado escolar, ESO",,860774,1603
2018,"Bachiller elemental, Graduado escolar, ESO",,860775,427
2018,Formación Profesional Primer Grado,,860645,532
2018,Formación Profesional Primer Grado,,860646,1060
2018,Formación Profesional Primer Grado,,860647,203
2018,Formación Profesional Primer Grado,,860648,275
2018,Formación Profesional Primer Grado,,860649,699
2018,Formación Profesional Primer Grado,,860650,153
2018,Formación Profesional Primer Grado,,860651,603
2018,Formación Profesional Primer Grado,,860652,851
2018,Formación Profesional Primer Grado,,860653,602
2018,Formación Profesional Primer Grado,,860654,393
2018,Formación Profesional Primer Grado,,860655,628
2018,Formación Profesional Primer Grado,,860656,642
2018,Formación Profesional Primer Grado,,860657,51
2018,Formación Profesional Primer Grado,,860658,648
2018,Formación Profesional Primer Grado,,860659,390
2018,Formación Profesional Primer Grado,,860660,306
2018,Formación Profesional Primer Grado,,860661,340
2018,Formación Profesional Primer Grado,,860662,90
2018,Formación Profesional Primer Grado,,860663,155
2018,Formación Profesional Primer Grado,,860664,140
2018,Formación Profesional Primer Grado,,860665,404
2018,Formación Profesional Primer Grado,,860666,432
2018,Formación Profesional Primer Grado,,860667,607
2018,Formación Profesional Primer Grado,,860668,239
2018,Formación Profesional Primer Grado,,860669,173
2018,Formación Profesional Primer Grado,,860670,117
2018,Formación Profesional Primer Grado,,860671,606
2018,Formación Profesional Primer Grado,,860672,309
2018,Formación Profesional Primer Grado,,860673,311
2018,Formación Profesional Primer Grado,,860674,190
2018,Formación Profesional Primer Grado,,860675,226
2018,Formación Profesional Primer Grado,,860676,698
2018,Formación Profesional Primer Grado,,860677,593
2018,Formación Profesional Primer Grado,,860678,359
2018,Formación Profesional Primer Grado,,860679,782
2018,Formación Profesional Primer Grado,,860680,848
2018,Formación Profesional Primer Grado,,860681,751
2018,Formación Profesional Primer Grado,,860682,356
2018,Formación Profesional Primer Grado,,860683,409
2018,Formación Profesional Primer Grado,,860684,420
2018,Formación Profesional Primer Grado,,860685,252
2018,Formación Profesional Primer Grado,,860686,433
2018,Formación Profesional Primer Grado,,860687,232
2018,Formación Profesional Primer Grado,,860688,95
2018,Formación Profesional Primer Grado,,860689,24
2018,Formación Profesional Primer Grado,,860690,1382
2018,Formación Profesional Primer Grado,,860691,1699
2018,Formación Profesional Primer Grado,,860692,704
2018,Formación Profesional Primer Grado,,860693,1475
2018,Formación Profesional Primer Grado,,860694,446
2018,Formación Profesional Primer Grado,,860695,260
2018,Formación Profesional Primer Grado,,860696,285
